City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Mount Gambier,AU,2021-12-28 15:22:32,-37.8333,140.7667,53.8,87,0,9.13
277,Bartica,GY,2021-12-28 15:23:32,6.4,-58.6167,77.32,88,98,3.89
278,Berdigestyakh,RU,2021-12-28 15:23:32,62.0989,126.6992,-48.39,100,66,0.83
279,Denpasar,ID,2021-12-28 15:19:03,-8.65,115.2167,82.06,83,40,9.22
280,Flin Flon,CA,2021-12-28 15:23:33,54.7682,-101.865,-25.76,68,20,6.91
281,Luau,AO,2021-12-28 15:23:34,-10.7073,22.2247,77.4,72,70,5.01
282,Fare,PF,2021-12-28 15:23:11,-16.7,-151.0167,80.08,74,95,7.49
283,Beyneu,KZ,2021-12-28 15:23:34,45.3167,55.2,33.15,71,97,7.65
284,Bardiyah,LY,2021-12-28 15:23:35,31.7561,25.0865,63.27,38,94,15.01
285,Beloha,MG,2021-12-28 15:23:35,-25.1667,45.05,86.27,49,82,6.85
286,Tabas,IR,2021-12-28 15:23:35,33.5959,56.9244,49.64,26,80,2.89
287,Duekoue,CI,2021-12-28 15:23:36,6.7472,-7.3496,97.41,24,79,2.66
288,Tiksi,RU,2021-12-28 15:23:36,71.6872,128.8694,-18.87,100,100,5.12
289,Toora-Khem,RU,2021-12-28 15:23:37,52.4675,96.11,-4.94,99,100,0.25
290,Hamilton,US,2021-12-28 15:23:37,39.1834,-84.5333,47.12,62,90,3.0
291,Bonthe,SL,2021-12-28 15:23:37,7.5264,-12.505,87.33,56,96,11.07
